match_id,stage,start_time,team1,team2,match_format,game_id,game_number,map_name,score1,score2,roster1,roster2,full_roster1,full_roster2
10525,Preseason,2017-12-06 16:00:00,FLA,SFS,preseason,4759,1,dorado,1,2,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy
10525,Preseason,2017-12-06 16:00:00,FLA,SFS,preseason,5576,2,temple-of-anubis,3,4,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,BABYBAY|Nevix|Nomy|dhaK|iddqd|sleepy,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy
10525,Preseason,2017-12-06 16:00:00,FLA,SFS,preseason,5577,3,oasis,1,2,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,BABYBAY|Nevix|Nomy|dhaK|iddqd|sleepy,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy
10525,Preseason,2017-12-06 16:00:00,FLA,SFS,preseason,5578,4,eichenwalde,3,2,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,CWoosH|Logix|Manneten|TviQ|Zebbosai|Zuppeh,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy
10526,Preseason,2017-12-06 18:00:00,VAL,SFS,preseason,5579,1,junkertown,3,2,Envy|Fate|Kariv|Soon|Unkoe|silkthread,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy
10526,Preseason,2017-12-06 18:00:00,VAL,SFS,preseason,5580,2,horizon-lunar-colony,2,3,Envy|Fate|Kariv|Soon|Unkoe|silkthread,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy
10526,Preseason,2017-12-06 18:00:00,VAL,SFS,preseason,5581,3,ilios,1,2,Envy|Fate|Grimreality|Unkoe|Verbo|silkthread,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy
10526,Preseason,2017-12-06 18:00:00,VAL,SFS,preseason,5582,4,numbani,5,4,Envy|Fate|Kariv|Soon|Unkoe|silkthread,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy
10526,Preseason,2017-12-06 18:00:00,VAL,SFS,preseason,5841,5,lijiang,2,0,Envy|Fate|Kariv|Soon|Unkoe|silkthread,BABYBAY|Danteh|Nevix|Nomy|dhaK|sleepy,Envy|Fate|Grimreality|Kariv|Numlocked|Silkthread|Soon|Unkoe|Verbo,BABYBAY|Danteh|Nevix|Nomy|dhaK|iddqd|sleepy
10527,Preseason,2017-12-06 20:30:00,SEO,SHD,preseason,5583,1,dorado,3,2,Bunny|Miro|Wekeed|ZUNBA|ryujehong|tobi,Altering|Diya|Fiveking|MG|Roshan|Xushu,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu
10527,Preseason,2017-12-06 20:30:00,SEO,SHD,preseason,5584,2,temple-of-anubis,4,3,Bunny|FLETA|KuKi|XepheR|ryujehong|tobi,Altering|Diya|Freefeel|MG|Roshan|Undead,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu
10527,Preseason,2017-12-06 20:30:00,SEO,SHD,preseason,5585,3,oasis,2,0,FLETA|KuKi|Munchkin|ZUNBA|ryujehong|tobi,Altering|Diya|Freefeel|MG|Roshan|Undead,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu
10527,Preseason,2017-12-06 20:30:00,SEO,SHD,preseason,5586,4,eichenwalde,3,1,Miro|Munchkin|Wekeed|ZUNBA|ryujehong|tobi,Diya|Fiveking|Freefeel|Roshan|Undead|Xushu,Bunny|FLETA|KuKi|Miro|Munchkin|Wekeed|XepheR|ZUNBA|ryujehong|tobi,Altering|Diya|Fiveking|Freefeel|MG|Roshan|Undead|Xushu
10528,Preseason,2017-12-07 14:00:00,GLA,LDN,preseason,5587,1,junkertown,3,1,Asher|BigGoose|Hydration|Shaz|Surefour|iRemiix,Closer|Gesture|HaGoPeun|Hooreg|Profit|WooHyaL,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
10528,Preseason,2017-12-07 14:00:00,GLA,LDN,preseason,5588,2,horizon-lunar-colony,1,2,BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix,Fissure|Fury|HaGoPeun|NUS|Rascal|birdring,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
10528,Preseason,2017-12-07 14:00:00,GLA,LDN,preseason,5589,3,ilios,0,2,Asher|BigGoose|Bischu|Shaz|Surefour|iRemiix,Closer|Gesture|HaGoPeun|Hooreg|Profit|WooHyaL,Asher|BigGoose|Bischu|Hydration|Shaz|Surefour|iRemiix,Bdosin|Closer|Fissure|Fury|Gesture|HaGoPeun|Hooreg|NUS|Profit|Rascal|WooHyaL|birdring
