match_id,game_id,stage,start_time,team1,team2,match_format,game_number,map,score1,score2,team1-p1,team1-p2,team1-p3,team1-p4,team1-p5,team1-p6,team2-p1,team2-p2,team2-p3,team2-p4,team2-p5,team2-p6
10525,4759,Preseason,2017-12-06 16:00:00,FLA,SFS,regular,1,dorado,1,2,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix
10525,5576,Preseason,2017-12-06 16:00:00,FLA,SFS,regular,2,temple-of-anubis,3,4,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,iddqd,dhaK,sleepy,BABYBAY,Nomy,Nevix
10525,5577,Preseason,2017-12-06 16:00:00,FLA,SFS,regular,3,oasis,1,2,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,iddqd,dhaK,sleepy,BABYBAY,Nomy,Nevix
10525,5578,Preseason,2017-12-06 16:00:00,FLA,SFS,regular,4,eichenwalde,3,2,Zebbosai,TviQ,Zuppeh,Logix,Manneten,CWoosH,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix
10526,5579,Preseason,2017-12-06 18:00:00,VAL,SFS,regular,1,junkertown,3,2,Envy,Kariv,Soon,Unkoe,Fate,Silkthread,BABYBAY,sleepy,dhaK,Danteh,Nomy,Nevix
10526,5580,Preseason,2017-12-06 18:00:00,VAL,SFS,regular,2,horizon-lunar-colony,2,3,Envy,Kariv,Soon,Unkoe,Fate,Silkthread,BABYBAY,sleepy,Danteh,dhaK,Nomy,Nevix
10526,5581,Preseason,2017-12-06 18:00:00,VAL,SFS,regular,3,ilios,1,2,Fate,Grimreality,Verbo,Unkoe,Silkthread,Envy,BABYBAY,sleepy,Danteh,Nomy,Nevix,dhaK
10526,5582,Preseason,2017-12-06 18:00:00,VAL,SFS,regular,4,numbani,5,4,Fate,Silkthread,Unkoe,Soon,Kariv,Envy,BABYBAY,sleepy,dhaK,Nomy,Nevix,Danteh
10526,5841,Preseason,2017-12-06 18:00:00,VAL,SFS,regular,5,lijiang,2,0,Kariv,Soon,Unkoe,Fate,Envy,Silkthread,BABYBAY,sleepy,Danteh,dhaK,Nomy,Nevix
10527,5583,Preseason,2017-12-06 20:30:00,SEO,SHD,regular,1,dorado,3,2,ZUNBA,tobi,ryujehong,Miro,Wekeed,Bunny,MG,Roshan,Diya,Xushu,Altering,Fiveking
10527,5584,Preseason,2017-12-06 20:30:00,SEO,SHD,regular,2,temple-of-anubis,4,3,tobi,ryujehong,FLETA,XepheR,KuKi,Bunny,Undead,MG,Roshan,Diya,Freefeel,Altering
10527,5585,Preseason,2017-12-06 20:30:00,SEO,SHD,regular,3,oasis,2,0,ZUNBA,tobi,ryujehong,FLETA,Munchkin,KuKi,Undead,MG,Roshan,Diya,Freefeel,Altering
10527,5586,Preseason,2017-12-06 20:30:00,SEO,SHD,regular,4,eichenwalde,3,1,ZUNBA,tobi,ryujehong,Miro,Wekeed,Munchkin,Undead,Roshan,Diya,Xushu,Freefeel,Fiveking
10528,5587,Preseason,2017-12-07 14:00:00,GLA,LDN,regular,1,junkertown,3,1,Surefour,iRemiix,Hydration,Asher,BigGoose,Shaz,Hooreg,Closer,HaGoPeun,Gesture,Profit,WooHyaL
10528,5588,Preseason,2017-12-07 14:00:00,GLA,LDN,regular,2,horizon-lunar-colony,1,2,Hydration,Surefour,Bischu,BigGoose,Shaz,iRemiix,NUS,birdring,HaGoPeun,Fissure,Fury,Rascal
10528,5589,Preseason,2017-12-07 14:00:00,GLA,LDN,regular,3,ilios,0,2,Asher,Surefour,Bischu,iRemiix,Shaz,BigGoose,Hooreg,Closer,HaGoPeun,Gesture,Profit,WooHyaL
10528,5590,Preseason,2017-12-07 14:00:00,GLA,LDN,regular,4,numbani,5,4,Surefour,Asher,iRemiix,Bischu,Shaz,BigGoose,Hooreg,Closer,HaGoPeun,Gesture,Profit,WooHyaL
10528,5842,Preseason,2017-12-07 14:00:00,GLA,LDN,regular,5,lijiang,2,0,BigGoose,Shaz,Hydration,Asher,Surefour,iRemiix,Gesture,Closer,Profit,Hooreg,WooHyaL,HaGoPeun
10529,5591,Preseason,2017-12-07 16:00:00,DAL,HOU,regular,1,dorado,1,2,Taimou,Chipshajen,Custa,Mickie,EFFECT,cocco,Jake,Coolmatt,Muma,Boink,LiNkzr,Rawkus
10529,5592,Preseason,2017-12-07 16:00:00,DAL,HOU,regular,2,temple-of-anubis,4,3,Taimou,Chipshajen,Mickie,HarryHook,EFFECT,xQc,Jake,Bani,LiNkzr,Boink,Coolmatt,Muma
10529,5593,Preseason,2017-12-07 16:00:00,DAL,HOU,regular,3,oasis,2,1,Seagull,Taimou,Mickie,EFFECT,Custa,Chipshajen,Clockwork,Coolmatt,Muma,LiNkzr,Rawkus,Boink
10529,5594,Preseason,2017-12-07 16:00:00,DAL,HOU,regular,4,eichenwalde,2,3,Taimou,Mickie,EFFECT,HarryHook,cocco,Chipshajen,Clockwork,SPREE,Muma,Jake,Rawkus,Bani
